Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Predicted Performance Index
5,99,No,6,3,84.4662
1,46,No,6,6,19.6704
5,90,No,8,2,76.08
4,40,Yes,8,4,23.315
4,74,No,7,3,56.6451
8,62,No,9,9,58.0308
1,46,Yes,6,4,19.8688
2,91,Yes,8,0,68.715
8,75,Yes,7,4,69.8961
2,59,No,5,6,35.277
9,63,Yes,8,1,60.435
5,88,No,7,3,73.7558
6,78,Yes,5,1,65.6635
2,77,No,7,9,55.1642
5,76,Yes,6,5,62.0443
5,51,Yes,7,1,36.2928
9,56,No,4,4,51.3646
5,46,No,4,6,30.1397
2,77,Yes,6,9,55.2719
6,42,No,6,8,30.2963
5,70,Yes,9,0,56.407
4,82,Yes,7,4,65.5796
6,68,No,6,3,55.7725
6,93,No,6,2,81.0217
5,81,Yes,4,0,65.1728
4,78,No,9,6,62.2821
3,93,No,8,4,73.8082
4,92,No,4,5,73.9038
8,76,Yes,5,4,69.9417
7,91,No,9,9,84.6888
2,74,No,5,2,49.7543
5,48,No,5,5,32.4639
3,58,No,7,0,36.9056
8,75,No,9,8,71.0655
1,46,No,9,8,21.5243
8,99,Yes,8,9,95.7998
7,51,Yes,4,8,41.9391
6,58,Yes,4,2,45.0175
7,41,Yes,6,6,32.3372
7,69,Yes,6,9,61.4309
1,81,No,4,6,54.3237
8,44,No,8,0,37.4435
2,60,No,8,9,38.3465
8,59,Yes,7,9,54.5987
7,47,No,5,5,37.1668
8,51,No,8,4,45.3595
1,60,Yes,4,3,32.949
4,69,Yes,7,6,52.7427
6,66,Yes,8,8,56.2915
2,65,Yes,9,1,42.9341
7,65,Yes,9,6,58.2247
3,75,Yes,9,3,56.3687
2,79,No,6,3,55.5275
2,98,Yes,6,3,75.461
7,89,No,5,1,79.1267
1,50,Yes,7,6,24.8219
9,41,Yes,8,1,38.0418
8,40,Yes,6,7,34.3775
9,83,No,9,7,81.8712
4,93,Yes,4,0,74.5269
2,69,No,8,0,45.7279
2,74,No,5,1,49.5566
5,97,Yes,7,3,83.5104
5,45,No,5,6,29.608
9,82,No,7,3,79.0901
9,43,Yes,8,8,41.4615
8,84,No,5,8,78.2817
4,49,Yes,7,0,31.1989
3,84,Yes,4,6,63.6919
6,85,No,4,3,72.1041
6,60,Yes,6,8,49.2119
7,49,No,6,6,39.8864
1,95,Yes,8,1,70.1238
2,78,Yes,8,4,56.2735
1,93,No,6,2,66.7197
3,80,No,7,7,60.6828
9,43,Yes,9,8,41.9477
4,90,No,8,0,72.8241
5,91,Yes,7,7,78.1941
9,78,Yes,8,3,76.0986
3,47,Yes,4,7,26.2283
9,67,No,4,4,62.5612
8,94,Yes,5,7,88.8566
8,73,No,4,9,66.7966
2,65,Yes,7,4,42.555
8,76,No,9,3,71.0948
8,53,Yes,6,3,46.819
9,56,No,4,3,51.1669
7,79,No,9,0,70.6949
5,58,No,6,3,42.7333
9,76,Yes,8,1,73.6674
5,41,No,7,2,25.7179
2,49,No,6,3,24.9913
6,74,No,8,9,64.0384
7,63,No,6,1,53.1481
9,56,Yes,5,4,52.4446
2,79,No,8,5,56.8953
6,41,Yes,4,7,28.7022
4,45,No,5,4,26.3521
4,60,Yes,8,2,43.2771
1,94,Yes,4,7,68.3476
1,68,No,6,8,42.4591
6,46,No,6,2,33.1815
3,72,Yes,9,2,53.1174
6,87,No,7,1,75.2029
2,92,Yes,5,9,70.0538
2,63,Yes,6,7,40.6262
4,65,No,4,4,46.2235
1,86,No,5,4,59.5038
7,99,Yes,8,8,92.7417
4,41,No,7,4,23.2529
3,60,Yes,8,1,40.219
3,53,No,6,5,32.3186
1,81,Yes,6,7,56.0875
2,83,Yes,9,1,61.2559
8,58,No,6,6,51.9077
5,84,Yes,6,8,70.7805
2,52,Yes,8,9,30.7973
3,61,No,6,6,40.6593
3,95,No,6,1,74.2785
7,83,Yes,5,6,74.6018
1,99,No,9,7,75.274
9,74,Yes,7,9,72.7272
1,53,Yes,9,5,28.6501
6,52,Yes,7,5,40.9619
6,86,No,7,2,74.3827
1,53,No,5,0,25.1231
2,90,No,8,1,67.301
9,75,Yes,6,7,72.8635
6,40,Yes,4,9,28.0798
2,92,Yes,7,4,70.0376
8,50,Yes,4,5,43.1885
3,66,No,8,8,47.1164
9,61,Yes,9,9,60.4672
9,85,Yes,7,6,83.3307
9,88,Yes,8,5,86.6728
2,85,Yes,9,1,63.2916
8,49,No,5,6,42.2607
8,63,Yes,5,0,55.9184
4,48,Yes,9,6,32.3396
4,56,Yes,5,1,37.5494
6,77,No,6,4,65.1311
6,79,No,8,3,67.9414
6,76,Yes,5,7,64.814
7,45,No,8,4,36.3918
9,60,Yes,9,7,59.0538
3,75,No,8,1,54.8933
4,75,No,9,9,59.8216
8,64,No,5,7,57.7265
7,50,No,7,7,41.5882
3,84,No,6,6,64.0704
3,87,Yes,8,5,68.4925
1,96,No,7,5,70.8526
4,75,Yes,9,7,60.02
4,42,Yes,7,0,24.0738
2,48,No,7,1,24.0641
4,47,No,6,0,28.0832
6,77,Yes,8,9,67.6858
7,43,Yes,9,2,35.0406
5,81,Yes,5,3,66.2521
5,43,No,7,9,29.1377
8,83,No,9,5,78.6153
9,43,No,4,4,38.1322
8,48,Yes,4,0,40.1641
4,51,Yes,9,0,34.207
7,94,No,9,1,86.1607
4,47,Yes,8,9,31.4287
4,59,Yes,8,2,42.2592
9,78,Yes,6,7,75.9171
5,74,Yes,6,5,60.0086
1,88,Yes,4,5,61.8449
8,96,Yes,5,9,91.2877
4,98,Yes,9,6,83.2334
2,95,No,4,2,70.6435
9,46,Yes,4,2,41.3842
5,70,No,4,4,54.1732
4,57,Yes,9,4,41.1051
7,53,No,6,8,44.3533
3,78,Yes,6,9,59.1502
5,98,Yes,8,7,85.8053
3,76,Yes,9,8,58.3752
5,48,No,9,3,34.0131
8,59,No,4,9,52.5464
9,96,No,6,8,93.8428
2,67,Yes,7,2,44.1953
7,92,No,9,1,84.1249
6,66,Yes,6,3,54.3306
4,47,No,8,6,30.2418
7,96,Yes,7,2,88.0157
8,71,No,9,6,66.5985
5,48,Yes,7,7,34.4254
6,69,No,9,7,59.0397
7,40,Yes,4,8,30.7425
1,44,No,8,6,18.607
8,74,Yes,5,6,68.3013
8,53,No,7,5,47.1068
4,69,No,4,0,49.5041
1,43,No,9,0,16.889
1,46,Yes,5,5,19.5803
9,52,Yes,7,6,49.7408
9,43,Yes,6,8,40.4892
9,82,No,6,5,78.9994
2,75,No,6,0,50.8629
3,47,No,9,2,27.0767
6,71,No,7,9,60.4986
2,81,No,7,2,57.8517
7,65,No,8,0,55.9584
5,81,Yes,5,1,65.8567
3,86,Yes,6,9,67.2932
9,57,Yes,8,7,55.5141
3,97,No,7,9,78.3821
5,83,Yes,7,0,68.6671
8,96,No,9,5,91.8477
6,40,Yes,6,2,27.6681
5,87,Yes,9,5,74.6994
4,67,No,7,3,49.52
6,44,Yes,5,6,32.0443
4,40,Yes,6,6,22.7382
4,97,Yes,8,0,80.5431
2,92,No,4,1,67.3921
9,92,Yes,7,3,89.8627
7,94,No,5,5,85.0069
7,65,Yes,7,0,56.0661
8,46,No,9,5,40.954
8,94,Yes,6,4,88.7496
4,91,No,9,7,75.7122
7,65,No,5,8,56.0817
4,53,Yes,5,4,35.0889
7,47,No,8,5,38.6253
1,67,No,4,6,40.0734
1,96,No,8,7,71.7342
6,58,Yes,4,8,46.2038
3,71,Yes,4,5,50.2618
2,62,Yes,9,4,40.4737
1,56,No,6,2,29.0583
3,77,No,5,4,56.0637
4,61,Yes,7,5,44.402
7,87,No,7,8,79.4473
8,90,Yes,7,2,84.7688
1,52,Yes,7,0,25.6713
9,91,Yes,7,1,88.4494
6,62,Yes,9,2,51.5198
7,51,Yes,5,0,40.8435
2,57,No,6,2,32.9366
6,97,No,9,3,86.7494
2,53,No,5,2,28.3789
6,97,Yes,9,7,88.134
9,77,No,9,0,74.3799
9,97,Yes,4,0,92.9004
7,96,Yes,9,1,88.7903
8,91,Yes,7,2,85.7867
7,71,No,9,4,63.3427
9,96,No,6,9,94.0405
4,73,Yes,4,3,54.7626
6,53,No,9,2,41.7651
2,83,Yes,4,1,58.8251
8,56,No,9,3,50.7373
5,54,Yes,9,9,41.9004
2,71,Yes,8,8,49.9392
4,52,Yes,5,1,33.4779
1,60,Yes,7,8,35.396
2,79,Yes,7,9,57.7938
9,96,Yes,8,9,95.6066
9,55,No,7,7,52.3983
7,70,Yes,9,6,63.3141
6,75,Yes,4,1,62.1237
6,99,Yes,6,4,88.1182
7,84,No,7,0,74.8119
3,51,Yes,7,6,31.5605
2,95,Yes,9,7,74.6567
4,43,No,7,1,24.6955
9,67,Yes,7,1,64.0204
4,81,No,7,5,64.1657
3,49,No,9,5,29.7056
2,80,Yes,7,2,57.4277
9,88,No,5,6,84.8182
3,41,No,6,5,20.1041
3,67,No,4,3,45.2011
1,92,Yes,4,6,66.1141
4,50,No,5,6,31.8369
6,98,No,8,2,87.0834
7,41,Yes,6,8,32.7327
4,80,Yes,9,8,65.3071
7,73,Yes,4,2,63.146
5,92,Yes,4,6,77.5557
7,61,No,5,0,50.4285
5,62,Yes,6,1,47.0032
6,58,Yes,8,1,46.7644
5,87,Yes,6,3,72.8455
5,71,Yes,4,5,55.9826
4,86,No,7,3,68.8596
5,78,Yes,7,4,64.3685
4,96,Yes,8,0,79.5252
7,74,Yes,5,2,64.6501
6,53,No,5,6,40.6114
9,78,No,7,4,75.2163
5,87,Yes,6,7,73.6364
8,98,Yes,5,9,93.3235
1,48,Yes,7,3,22.193
8,56,No,4,5,48.7019
7,56,No,8,4,47.5884
8,98,No,4,9,92.2435
4,77,Yes,9,7,62.0557
7,85,No,8,8,77.8977
3,69,No,4,2,47.0391
5,66,Yes,4,7,51.2887
2,55,Yes,6,5,32.0878
1,62,Yes,7,3,36.4432
9,61,No,4,8,57.2448
2,66,No,4,3,41.3228
5,41,No,4,8,25.4457
2,65,No,7,2,41.5657
6,67,Yes,5,2,54.6646
5,58,Yes,7,2,43.6156
2,59,No,7,5,36.0516
7,69,No,5,3,59.1646
4,42,No,6,0,22.9938
4,85,No,5,3,66.8694
1,78,No,8,0,52.0284
9,67,Yes,7,4,64.6135
2,90,No,6,0,66.131
5,96,No,7,7,82.6896
6,59,Yes,7,9,48.8779
5,73,Yes,7,5,59.4769
4,97,No,7,7,80.8471
8,73,No,4,1,65.2149
7,92,No,6,4,83.2596
8,59,No,9,0,53.1978
5,94,Yes,8,9,82.1293
7,58,No,8,6,50.0196
2,84,Yes,8,0,61.5899
6,43,Yes,6,8,31.908
2,94,Yes,5,2,70.7056
8,86,Yes,8,8,82.3698
3,72,No,6,5,51.6582
5,41,Yes,9,6,28.0749
4,81,No,7,9,64.9565
4,64,Yes,9,8,49.0211
6,54,Yes,8,7,43.8792
3,63,No,6,1,41.7065
6,70,No,7,7,59.0853
7,45,Yes,7,2,36.104
4,57,Yes,7,2,39.7373
4,90,Yes,9,8,75.4858
7,55,Yes,7,1,46.0851
4,66,No,8,0,48.3951
8,85,No,6,9,79.9835
2,49,No,4,8,25.0075
5,62,No,6,9,47.9911
4,52,No,4,1,32.3979
2,61,Yes,9,9,40.4444
9,62,Yes,7,5,59.7218
1,74,No,4,1,46.21
1,42,Yes,9,7,17.8489
6,41,Yes,6,0,28.2905
1,88,No,5,9,62.5281
3,71,Yes,5,9,51.5389
5,72,No,7,0,56.8766
5,55,Yes,4,9,40.4875
4,95,Yes,9,5,79.982
3,95,Yes,4,9,75.4817
1,41,Yes,8,8,16.5426
8,53,No,8,2,46.9998
4,95,No,9,6,79.586
9,94,Yes,7,5,92.2939
7,69,Yes,5,8,60.747
6,59,Yes,4,5,46.6285
6,95,No,6,9,84.4414
9,70,Yes,8,2,67.7579
8,46,No,9,0,39.9654
4,94,Yes,8,3,78.0826
7,52,No,4,4,41.5723
7,89,Yes,4,5,80.0252
8,95,Yes,9,6,91.6214
5,91,No,9,4,77.9794
5,43,Yes,7,0,27.952
7,54,Yes,7,1,45.0672
3,91,Yes,8,5,72.564
9,47,No,5,2,42.2944
2,93,No,6,4,69.9755
7,48,No,9,1,39.3384
6,96,Yes,5,9,85.5669
7,74,Yes,8,7,67.0971
1,91,No,6,1,64.4862
7,58,Yes,6,4,49.2457
6,87,Yes,6,1,75.3105
6,91,No,6,2,78.9859
1,40,No,9,6,15.0216
6,90,No,5,4,77.8773
4,79,No,4,4,60.4737
2,93,Yes,4,2,69.2016
3,43,Yes,5,5,22.2475
9,57,No,7,9,54.8295
2,60,No,8,2,36.9625
5,40,No,4,5,23.8347
3,75,No,6,5,54.7119
8,47,No,4,9,40.3319
8,66,No,6,9,60.6438
2,58,No,6,9,35.3384
8,91,No,7,1,84.9952
5,80,Yes,5,6,65.8274
4,50,Yes,7,3,32.8099
7,60,No,7,8,51.9646
6,46,Yes,9,5,35.827
3,62,No,5,6,41.191
9,76,Yes,8,1,73.6674
2,72,Yes,8,4,50.1662
9,54,Yes,5,7,51.002
2,42,Yes,9,4,20.1162
8,92,No,6,7,86.7132
6,41,No,8,8,30.2508
3,80,Yes,7,0,59.8926
3,40,Yes,9,9,21.9294
9,47,Yes,7,1,43.6629
6,86,Yes,7,9,76.3605
5,74,Yes,7,1,59.7039
1,99,No,7,3,73.5108
4,84,No,5,3,65.8515
2,83,No,7,6,60.6783
4,83,Yes,5,4,65.6252
7,83,Yes,9,5,76.3487
6,45,No,4,5,31.7845
5,64,No,6,5,49.236
3,70,Yes,8,3,50.7932
7,80,Yes,9,5,73.2951
9,41,Yes,5,7,37.7696
2,60,Yes,9,4,38.4379
6,92,Yes,9,7,83.0447
7,83,Yes,4,2,73.3248
8,73,Yes,4,6,66.7973
6,99,Yes,5,3,87.4343
4,48,No,4,7,29.5127
3,95,Yes,5,4,74.9793
3,69,Yes,4,1,47.4352
4,61,No,6,0,42.3334
9,50,No,7,8,47.5067
6,52,Yes,8,9,42.2389
3,55,No,9,4,35.6151
3,40,Yes,8,0,19.6638
9,50,Yes,7,5,47.5073
7,83,Yes,9,8,76.9419
3,80,No,5,9,60.1059
3,67,Yes,9,0,47.6326
8,81,Yes,9,3,76.778
9,40,Yes,8,9,38.6056
9,67,No,4,9,63.5498
7,97,Yes,7,9,90.4175
2,94,No,8,0,71.1748
5,56,No,9,5,42.5515
5,65,Yes,9,9,53.0971
5,59,Yes,9,0,45.2104
5,52,No,7,9,38.2985
9,45,No,5,8,41.445
1,62,No,7,1,35.454
6,41,Yes,8,4,30.0537
4,56,Yes,7,3,38.9172
6,71,No,8,6,60.3916
2,42,No,7,9,19.5386
9,41,Yes,5,5,37.3742
8,80,Yes,4,5,73.7247
7,57,Yes,7,7,49.3071
6,83,Yes,6,3,71.6344
2,65,No,9,9,43.922
6,51,Yes,4,0,37.497
9,60,Yes,9,3,58.263
1,87,Yes,4,4,60.6293
1,47,Yes,8,8,22.6498
1,62,No,8,9,37.5219
7,52,No,5,8,42.8493
5,93,No,7,1,78.4497
5,92,No,8,6,78.9066
1,88,No,6,8,62.8166
6,53,Yes,7,1,41.1889
9,55,Yes,7,5,52.5967
1,78,No,4,6,51.2701
7,71,Yes,4,7,62.0989
1,57,No,8,0,30.653
8,69,Yes,4,5,62.5281
8,97,No,9,6,93.0633
5,58,No,8,2,43.508
7,86,No,6,4,77.1524
2,45,Yes,8,5,22.8813
2,59,Yes,5,6,35.8708
2,77,No,7,5,54.3734
5,97,Yes,5,3,82.5381
8,80,No,8,2,74.4824
1,97,Yes,8,7,73.3459
9,63,No,8,9,61.4229
3,65,No,8,3,45.11
3,53,Yes,9,8,34.964
9,87,No,4,3,82.721
5,98,Yes,4,6,83.663
6,79,No,6,9,68.1554
1,42,No,4,2,13.8357
5,77,No,4,0,60.5075
6,95,No,5,5,83.1644
4,79,Yes,6,4,62.0399
7,72,Yes,4,2,62.1282
9,53,Yes,6,9,50.8657
9,99,Yes,8,8,98.4625
4,67,No,5,6,49.1408
2,54,Yes,7,6,31.7538
8,53,Yes,4,3,45.8467
3,65,No,9,1,45.2007
1,41,Yes,5,5,14.491
5,49,No,7,4,34.2563
5,60,Yes,4,0,43.7974
8,99,No,9,3,94.5059
3,83,Yes,6,3,63.0532
5,92,No,9,1,78.4042
5,47,No,7,9,33.2092
3,83,No,6,2,62.2617
7,91,No,8,7,83.8072
9,80,Yes,6,4,77.3597
4,63,Yes,9,9,48.2009
1,79,No,7,4,53.351
5,95,Yes,7,2,81.277
6,96,Yes,5,6,84.9738
3,98,Yes,7,7,79.5984
2,73,Yes,6,6,50.6072
3,50,No,4,1,27.5018
5,57,Yes,5,3,41.8231
3,82,Yes,4,3,61.063
1,57,Yes,7,8,32.3424
3,52,No,7,4,31.5892
8,40,Yes,6,0,32.9935
9,43,Yes,6,6,40.0938
8,67,No,4,1,59.1077
5,65,No,5,4,49.57
1,62,Yes,7,6,37.0364
2,78,No,9,3,55.9681
6,77,Yes,7,0,65.4202
6,74,No,5,4,61.5913
7,69,Yes,5,1,59.363
5,92,No,5,8,77.8435
8,77,No,4,2,69.4841
4,68,Yes,5,5,50.5548
9,91,No,5,8,88.2672
7,43,Yes,7,0,33.6728
6,98,No,8,0,86.6879
8,55,Yes,9,3,50.3132
7,64,Yes,7,8,56.6299
3,50,No,7,0,28.7626
2,95,No,5,8,72.3159
8,75,No,8,3,69.5907
5,47,Yes,4,5,31.5536
5,85,Yes,8,5,72.1775
2,80,No,6,0,55.9523
3,61,Yes,8,1,41.2369
3,90,No,6,5,69.98
8,49,Yes,4,3,41.7752
3,73,No,5,5,52.1899
1,85,Yes,9,5,61.2221
5,68,No,5,6,53.0191
8,84,Yes,6,9,79.5594
3,48,Yes,5,3,26.9414
8,78,No,7,0,71.5651
4,94,Yes,4,5,76.5334
2,71,Yes,9,9,50.6231
1,89,Yes,5,5,63.349
6,95,No,5,6,83.3621
8,90,No,5,4,83.5981
8,56,Yes,9,9,52.5174
7,58,No,8,8,50.415
5,91,No,4,4,75.5486
7,96,Yes,6,3,87.7272
5,82,Yes,4,6,67.377
